Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1482350289013579778;"RT @Abii_Editz : Namakku oru vishayam unmaile pudikum na,adha indha universe eh sendhu senju kudukum!🧿

Unga oorla,unga first film,unga people kuda paathirkeenga Ashwineyyy!Do you even know how happy and proud I'm feeling right now @i_amak ?❤

#Ashwinkumar #EnnaSollaPogirai https://t.co/kAqvmKHgFl";Ashwin_fan_forever💎;Ranjani98604189;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;et;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;2;1;video;https://video.twimg.com/ext_tw_video/1482340394176495618/pu/pl/Wu7gGgqnUpyv9AJD.m3u8?tag=12&container=fmp4;;;
1482350288786841603;Emily in med school test,papers, viva,class politics,snakes,some happy moments with friends(if u have some),sendups,proff,more snakes,depression,achay caring seniors(some weird and creepy ones too),stress,anxiety and who r u kidding emily can't survive a day in this shitt😑😑;Fatima;irritated_soul;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;;;;;
1482350288547819528;RT @Rider2Texas : Good Morning 😹 Happy Caturday https://t.co/6EJnLUQgrK;Marisa Lobue;LobueMarisa;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FJJAkDkXoAAgfJY.jpg;;;
1482350288476733440;@sunilyadv_unnao @dimpleyadav Happy Birthday 🥳🥳🎆;Pritam Ray;Pritam77422752;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;2;;;;;
1482350288212459528;@hyungwoxn Happy birthday to you! Have a nice day and God bless your every step. Always be happy and have a smile on your face, the smoother everything goes for you! And may you always be successful and more romantic with your couple🥰🥳! https://t.co/ekEcIzl6Q7;Declown, Annara🐢.;yerimiess_e;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;1;photo;https://pbs.twimg.com/media/FJJduJXagAIFGSz.jpg;https://pbs.twimg.com/media/FJJdum4akAMlFDN.jpg;;
1482350288078000133;Happy Founders Day to the Pretty Women of Alpha Kappa Alpha Sorority Inc. ❤️💗💚;NefertitEE 🌻🏳️‍🌈;Nefertitee080;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;;;;;
1482350288019283979;"RT @Lun4rc : 「Defender's Last Duty」
Happy Birthday Fu Hua~

#崩坏3 #HonkaiImpact3rd #崩壊3rd #붕괴3rd #符华 #フカ #Fuhua #原神 #GenshinImpact #원신 #钟离 #鍾離 #Zhongli #종려 https://t.co/ipGFou4Tgv";fu hua & shenhe!!♡;fenghhua;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;14;0;photo;https://pbs.twimg.com/media/EtvgWBJVoAAXqbK.jpg;;;
1482350288002752512;@koreansales_twt @PHIXOVotingTeam HAPPY BIRTHDAY AND CONGRATULATIONS, MY FAVE! ♥ So proud of you kyungsoooyaaaaah🐧🥳🎉;Claudiaaa;cloud_yeah1112;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;2;;;;;
1482350287943839753;"Good morning Friendos. Happy Saturday!!!🥰💖
Today, I miss so much my soul sister @Sarah_Samedi 
I love you, Sweetheart. https://t.co/W0lM50Kngl";Itamar Iliuk;itamar15;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;1;photo;https://pbs.twimg.com/media/FJJdur6XEActo-y.jpg;;;
1482350287847403528;@HedgeRooster Hey, Happy Birthday! I hope you have a fantastic day!;Anthony Has Issues;AnthonyLaFauci;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;0;1;;;;;
