angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.1,,"(260, 129, 136, 136)",,0.0,,0.02,,0.83,,0.03,,0.0,,0.01,
0.03,,"(260, 126, 134, 134)",,0.0,,0.01,,0.94,,0.01,,0.0,,0.01,
0.02,,"(263, 128, 128, 128)",,0.0,,0.06,,0.3,,0.57,,0.05,,0.0,
0.05,,"(263, 125, 130, 130)",,0.0,,0.05,,0.03,,0.53,,0.34,,0.0,
0.04,,"(264, 125, 129, 129)",,0.0,,0.11,,0.03,,0.55,,0.27,,0.0,
0.07,,"(264, 125, 131, 131)",,0.0,,0.09,,0.02,,0.62,,0.19,,0.0,
0.1,,"(259, 126, 137, 137)",,0.0,,0.45,,0.08,,0.14,,0.19,,0.05,
0.17,,"(261, 126, 139, 139)",,0.0,,0.49,,0.03,,0.05,,0.17,,0.09,
0.11,,"(261, 126, 139, 139)",,0.0,,0.46,,0.07,,0.1,,0.16,,0.1,
0.12,,"(264, 128, 132, 132)",,0.0,,0.39,,0.02,,0.14,,0.23,,0.09,
0.12,,"(264, 128, 133, 133)",,0.0,,0.37,,0.03,,0.17,,0.23,,0.09,
0.14,,"(265, 127, 136, 136)",,0.0,,0.38,,0.02,,0.26,,0.17,,0.02,
0.2,,"(266, 127, 134, 134)",,0.0,,0.28,,0.01,,0.32,,0.18,,0.02,
0.12,,"(267, 127, 131, 131)",,0.0,,0.22,,0.07,,0.39,,0.12,,0.08,
0.22,,"(266, 127, 134, 134)",,0.0,,0.07,,0.56,,0.04,,0.03,,0.07,
0.16,,"(268, 130, 130, 130)",,0.0,,0.02,,0.77,,0.03,,0.01,,0.01,
0.04,,"(268, 130, 129, 129)",,0.0,,0.01,,0.93,,0.01,,0.0,,0.01,
0.05,,"(267, 130, 130, 130)",,0.0,,0.0,,0.93,,0.01,,0.0,,0.0,
0.01,,"(261, 124, 138, 138)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"(262, 128, 132, 132)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"(263, 126, 135, 135)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.0,,"(264, 128, 131, 131)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"(263, 126, 135, 135)",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.01,,"(262, 126, 135, 135)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.02,,"(262, 125, 136, 136)",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.01,,"(261, 125, 137, 137)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"(263, 126, 134, 134)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"(262, 125, 136, 136)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.0,,"(261, 126, 136, 136)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"(263, 128, 131, 131)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"(265, 129, 134, 134)",,0.0,,0.01,,0.91,,0.06,,0.0,,0.0,
0.01,,"(264, 130, 133, 133)",,0.0,,0.0,,0.93,,0.05,,0.0,,0.0,
0.02,,"(264, 130, 132, 132)",,0.0,,0.01,,0.92,,0.05,,0.0,,0.0,
0.02,,"(264, 130, 132, 132)",,0.0,,0.01,,0.92,,0.05,,0.0,,0.0,
0.01,,"(263, 130, 133, 133)",,0.0,,0.0,,0.95,,0.03,,0.0,,0.0,
0.02,,"(264, 130, 132, 132)",,0.0,,0.0,,0.93,,0.04,,0.0,,0.0,
0.02,,"(263, 130, 132, 132)",,0.0,,0.01,,0.94,,0.03,,0.0,,0.0,
0.06,,"(261, 128, 137, 137)",,0.0,,0.01,,0.9,,0.01,,0.0,,0.02,
0.05,,"(261, 128, 135, 135)",,0.0,,0.0,,0.92,,0.0,,0.0,,0.02,
